CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
AK-500,Anchorage CoC,974.0,548.0,294.0,842.0,132.0,696.0,438.0,151.0,589.0,107.0,278.0,110.0,143.0,253.0,25.0,93.0,39.0,46.0,85.0,8.0,224.0,187.0,37.0,2007
AK-501,Alaska Balance of State CoC,668.0,350.0,195.0,545.0,123.0,366.0,180.0,122.0,302.0,64.0,302.0,170.0,73.0,243.0,59.0,97.0,56.0,24.0,80.0,17.0,54.0,34.0,20.0,2007
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2104.0,465.0,775.0,1240.0,864.0,1529.0,393.0,440.0,833.0,696.0,575.0,72.0,335.0,407.0,168.0,228.0,31.0,122.0,153.0,75.0,516.0,269.0,247.0,2007
AL-501,Mobile City & County/Baldwin County CoC,649.0,113.0,297.0,410.0,239.0,499.0,85.0,175.0,260.0,239.0,150.0,28.0,122.0,150.0,0.0,48.0,12.0,36.0,48.0,0.0,84.0,10.0,74.0,2007
AL-502,Florence/Northwest Alabama CoC,265.0,13.0,118.0,131.0,134.0,143.0,10.0,83.0,93.0,50.0,122.0,3.0,35.0,38.0,84.0,38.0,1.0,9.0,10.0,28.0,8.0,0.0,8.0,2007
AL-503,Huntsville/North Alabama CoC,830.0,336.0,420.0,756.0,74.0,761.0,336.0,351.0,687.0,74.0,69.0,0.0,69.0,69.0,0.0,25.0,0.0,25.0,25.0,0.0,215.0,144.0,71.0,2007
AL-504,Montgomery City & County CoC,456.0,107.0,224.0,331.0,125.0,392.0,99.0,171.0,270.0,122.0,64.0,8.0,53.0,61.0,3.0,25.0,3.0,21.0,24.0,1.0,108.0,39.0,69.0,2007
AL-505,Gadsden/Northeast Alabama CoC,119.0,93.0,11.0,104.0,15.0,103.0,79.0,11.0,90.0,13.0,16.0,14.0,0.0,14.0,2.0,6.0,5.0,0.0,5.0,1.0,4.0,0.0,4.0,2007
AL-506,Tuscaloosa City & County CoC,345.0,39.0,293.0,332.0,13.0,294.0,36.0,249.0,285.0,9.0,51.0,3.0,44.0,47.0,4.0,10.0,1.0,8.0,9.0,1.0,15.0,15.0,0.0,2007
AL-507,Alabama Balance of State CoC,684.0,286.0,206.0,492.0,192.0,463.0,172.0,133.0,305.0,158.0,221.0,114.0,73.0,187.0,34.0,86.0,43.0,30.0,73.0,13.0,43.0,6.0,37.0,2007
AR-500,Little Rock/Central Arkansas CoC,1822.0,649.0,538.0,1187.0,635.0,1632.0,605.0,404.0,1009.0,623.0,190.0,44.0,134.0,178.0,12.0,61.0,15.0,43.0,58.0,3.0,491.0,300.0,191.0,2007
AR-501,Fayetteville/Northwest Arkansas CoC,279.0,165.0,79.0,244.0,35.0,157.0,108.0,25.0,133.0,24.0,122.0,57.0,54.0,111.0,11.0,47.0,27.0,16.0,43.0,4.0,34.0,25.0,9.0,2007
AR-502,Conway/Arkansas River Valley,163.0,11.0,48.0,59.0,104.0,87.0,9.0,10.0,19.0,68.0,76.0,2.0,38.0,40.0,36.0,26.0,2.0,15.0,17.0,9.0,15.0,0.0,15.0,2007
AR-504,Delta Hills CoC,901.0,114.0,277.0,391.0,510.0,626.0,80.0,267.0,347.0,279.0,275.0,34.0,10.0,44.0,231.0,127.0,13.0,4.0,17.0,110.0,228.0,43.0,185.0,2007
AR-505,Southeast Arkansas CoC,130.0,102.0,18.0,120.0,10.0,35.0,23.0,9.0,32.0,3.0,95.0,79.0,9.0,88.0,7.0,24.0,19.0,3.0,22.0,2.0,25.0,25.0,0.0,2007
AR-506,"Johnson, Pope, Yell Counties",21.0,4.0,14.0,18.0,3.0,21.0,4.0,14.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2007
