Year,CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals
2008,AK-500,Anchorage CoC,1023.0,535.0,386.0,921.0,102.0,695.0,357.0,239.0,596.0,99.0,328.0,178.0,147.0,325.0,3.0,84.0,42.0,41.0,83.0,1.0,300.0,239.0,61.0
2008,AK-501,Alaska Balance of State CoC,623.0,312.0,219.0,531.0,92.0,372.0,200.0,116.0,316.0,56.0,251.0,112.0,103.0,215.0,36.0,88.0,41.0,34.0,75.0,13.0,139.0,116.0,23.0
2008,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2104.0,465.0,775.0,1240.0,864.0,1529.0,393.0,440.0,833.0,696.0,575.0,72.0,335.0,407.0,168.0,228.0,31.0,122.0,153.0,75.0,516.0,269.0,247.0
2008,AL-501,Mobile City & County/Baldwin County CoC,524.0,156.0,185.0,341.0,183.0,350.0,103.0,77.0,180.0,170.0,174.0,53.0,108.0,161.0,13.0,62.0,18.0,39.0,57.0,5.0,73.0,34.0,39.0
2008,AL-502,Florence/Northwest Alabama CoC,249.0,27.0,151.0,178.0,71.0,173.0,9.0,119.0,128.0,45.0,76.0,18.0,32.0,50.0,26.0,23.0,3.0,12.0,15.0,8.0,5.0,2.0,3.0
2008,AL-503,Huntsville/North Alabama CoC,714.0,338.0,299.0,637.0,77.0,596.0,311.0,208.0,519.0,77.0,118.0,27.0,91.0,118.0,0.0,47.0,12.0,35.0,47.0,0.0,279.0,202.0,77.0
2008,AL-504,Montgomery City & County CoC,444.0,108.0,219.0,327.0,117.0,370.0,96.0,166.0,262.0,108.0,74.0,12.0,53.0,65.0,9.0,26.0,4.0,19.0,23.0,3.0,103.0,38.0,65.0
2008,AL-505,Gadsden/Northeast Alabama CoC,298.0,183.0,79.0,262.0,36.0,206.0,120.0,61.0,181.0,25.0,92.0,63.0,18.0,81.0,11.0,25.0,16.0,6.0,22.0,3.0,8.0,7.0,1.0
2008,AL-506,Tuscaloosa City & County CoC,196.0,33.0,159.0,192.0,4.0,170.0,31.0,135.0,166.0,4.0,26.0,2.0,24.0,26.0,0.0,11.0,1.0,10.0,11.0,0.0,25.0,21.0,4.0
2008,AL-507,Alabama Balance of State CoC,858.0,224.0,442.0,666.0,192.0,692.0,96.0,438.0,534.0,158.0,166.0,128.0,4.0,132.0,34.0,61.0,46.0,2.0,48.0,13.0,43.0,6.0,37.0
