CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
AK-500,Anchorage CoC,Sheltered and Unsheltered Count,1267.0,638.0,472.0,1110.0,157.0,821.0,423.0,266.0,689.0,132.0,446.0,215.0,206.0,421.0,25.0,133.0,61.0,63.0,124.0,9.0,198.0,152.0,152.0,46.0,2009
AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,725.0,371.0,184.0,555.0,170.0,418.0,203.0,97.0,300.0,118.0,307.0,168.0,87.0,255.0,52.0,104.0,57.0,29.0,86.0,18.0,125.0,93.0,93.0,32.0,2009
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Sheltered and Unsheltered Count,2273.0,372.0,697.0,1069.0,1204.0,1645.0,287.0,469.0,756.0,889.0,628.0,85.0,228.0,313.0,315.0,235.0,31.0,86.0,117.0,118.0,611.0,285.0,285.0,326.0,2009
AL-501,Mobile City & County/Baldwin County CoC,Sheltered and Unsheltered Count,747.0,200.0,211.0,411.0,336.0,572.0,112.0,140.0,252.0,320.0,175.0,88.0,71.0,159.0,16.0,57.0,28.0,22.0,50.0,7.0,73.0,34.0,34.0,39.0,2009
AL-502,Florence/Northwest Alabama CoC,Sheltered and Unsheltered Count,281.0,19.0,194.0,213.0,68.0,222.0,11.0,168.0,179.0,43.0,59.0,8.0,26.0,34.0,25.0,26.0,3.0,13.0,16.0,10.0,9.0,6.0,6.0,3.0,2009
AL-503,Huntsville/North Alabama CoC,Sheltered and Unsheltered Count,664.0,306.0,268.0,574.0,90.0,578.0,302.0,186.0,488.0,90.0,86.0,4.0,82.0,86.0,0.0,27.0,2.0,25.0,27.0,0.0,287.0,208.0,208.0,79.0,2009
AL-504,Montgomery City & County CoC,Sheltered and Unsheltered Count,377.0,117.0,146.0,263.0,114.0,305.0,105.0,104.0,209.0,96.0,72.0,12.0,42.0,54.0,18.0,26.0,5.0,14.0,19.0,7.0,93.0,46.0,46.0,47.0,2009
AL-505,Gadsden/Northeast Alabama CoC,Sheltered and Unsheltered Count,433.0,111.0,196.0,307.0,126.0,333.0,71.0,165.0,236.0,97.0,100.0,40.0,31.0,71.0,29.0,41.0,17.0,12.0,29.0,12.0,33.0,23.0,23.0,10.0,2009
AL-506,Tuscaloosa City & County CoC,Sheltered and Unsheltered Count,270.0,44.0,217.0,261.0,9.0,202.0,38.0,155.0,193.0,9.0,68.0,6.0,62.0,68.0,0.0,21.0,2.0,19.0,21.0,0.0,20.0,17.0,17.0,3.0,2009
AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,1035.0,250.0,565.0,815.0,220.0,829.0,178.0,540.0,718.0,111.0,206.0,72.0,25.0,97.0,109.0,76.0,24.0,10.0,34.0,42.0,63.0,33.0,33.0,30.0,2009
