Year,CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals
2010,AK-500,Anchorage CoC,Sheltered and Unsheltered Count,1231.0,667.0,446.0,0.0,1113.0,118.0,740.0,440.0,193.0,0.0,633.0,107.0,491.0,227.0,253.0,480.0,11.0,151.0,67.0,80.0,147.0,4.0,0.0,56.0,43.0,0.0,43.0,13.0
2010,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,632.0,346.0,212.0,0.0,558.0,74.0,378.0,201.0,119.0,0.0,320.0,58.0,254.0,145.0,93.0,238.0,16.0,93.0,46.0,43.0,89.0,4.0,0.0,108.0,76.0,0.0,76.0,32.0
2010,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",No 2010 PIT Count,2273.0,372.0,697.0,0.0,1069.0,1204.0,1645.0,287.0,469.0,0.0,756.0,889.0,628.0,85.0,228.0,313.0,315.0,235.0,31.0,86.0,117.0,118.0,0.0,611.0,285.0,0.0,285.0,326.0
2010,AL-501,Mobile City & County/Baldwin County CoC,Sheltered and Unsheltered Count,883.0,168.0,314.0,0.0,482.0,401.0,540.0,72.0,137.0,0.0,209.0,331.0,343.0,96.0,177.0,273.0,70.0,131.0,34.0,78.0,112.0,19.0,0.0,68.0,18.0,0.0,18.0,50.0
2010,AL-502,Florence/Northwest Alabama CoC,Sheltered and Unsheltered Count,170.0,22.0,140.0,0.0,162.0,8.0,131.0,3.0,124.0,0.0,127.0,4.0,39.0,19.0,16.0,35.0,4.0,8.0,4.0,3.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0
2010,AL-503,Huntsville/North Alabama CoC,Sheltered and Unsheltered Count,819.0,308.0,337.0,0.0,645.0,174.0,678.0,259.0,259.0,0.0,518.0,160.0,141.0,49.0,78.0,127.0,14.0,48.0,17.0,28.0,45.0,3.0,0.0,203.0,127.0,0.0,127.0,76.0
2010,AL-504,Montgomery City & County CoC,Sheltered and Unsheltered Count,444.0,117.0,177.0,0.0,294.0,150.0,376.0,100.0,138.0,0.0,238.0,138.0,68.0,17.0,39.0,56.0,12.0,23.0,5.0,13.0,18.0,5.0,0.0,72.0,17.0,0.0,17.0,55.0
2010,AL-505,Gadsden/Northeast Alabama CoC,Sheltered and Unsheltered Count,370.0,179.0,115.0,0.0,294.0,76.0,221.0,108.0,67.0,0.0,175.0,46.0,149.0,71.0,48.0,119.0,30.0,60.0,29.0,19.0,48.0,12.0,0.0,4.0,2.0,0.0,2.0,2.0
2010,AL-506,Tuscaloosa City & County CoC,Sheltered and Unsheltered Count,278.0,35.0,228.0,0.0,263.0,15.0,271.0,35.0,221.0,0.0,256.0,15.0,7.0,0.0,7.0,7.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,40.0,33.0,0.0,33.0,7.0
2010,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,809.0,227.0,455.0,0.0,682.0,127.0,691.0,133.0,445.0,0.0,578.0,113.0,118.0,94.0,10.0,104.0,14.0,43.0,35.0,4.0,39.0,4.0,0.0,41.0,20.0,0.0,20.0,21.0
2010,AR-500,Little Rock/Central Arkansas CoC,No 2010 PIT Count,1425.0,349.0,624.0,0.0,973.0,452.0,1179.0,302.0,433.0,0.0,735.0,444.0,246.0,47.0,191.0,238.0,8.0,66.0,18.0,46.0,64.0,2.0,0.0,70.0,54.0,0.0,54.0,16.0
2010,AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered-Only Count,251.0,141.0,80.0,0.0,221.0,30.0,147.0,109.0,9.0,0.0,118.0,29.0,104.0,32.0,71.0,103.0,1.0,45.0,15.0,29.0,44.0,1.0,0.0,54.0,38.0,0.0,38.0,16.0
2010,AR-504,Delta Hills CoC,No 2010 PIT Count,969.0,138.0,321.0,0.0,459.0,510.0,731.0,103.0,307.0,0.0,410.0,321.0,238.0,35.0,14.0,49.0,189.0,95.0,15.0,5.0,20.0,75.0,0.0,252.0,39.0,0.0,39.0,213.0
2010,AR-505,Southeast Arkansas CoC,No 2010 PIT Count,51.0,33.0,18.0,0.0,51.0,0.0,31.0,21.0,10.0,0.0,31.0,0.0,20.0,12.0,8.0,20.0,0.0,7.0,4.0,3.0,7.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0
2010,AR-512,"Boone, Baxter, Marion, Newton Counties CoC",Sheltered and Unsheltered Count,66.0,7.0,17.0,0.0,24.0,42.0,32.0,7.0,11.0,0.0,18.0,14.0,34.0,0.0,6.0,6.0,28.0,9.0,0.0,2.0,2.0,7.0,0.0,7.0,2.0,0.0,2.0,5.0
2010,AZ-500,Arizona Balance of State CoC,Sheltered-Only Count,3069.0,578.0,427.0,0.0,1005.0,2064.0,2085.0,301.0,156.0,0.0,457.0,1628.0,984.0,277.0,271.0,548.0,436.0,288.0,94.0,83.0,177.0,111.0,0.0,395.0,84.0,0.0,84.0,311.0
