CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless Individuals - Under 18,Sheltered ES Homeless Individuals,Sheltered ES Homeless Individuals - Under 18,Sheltered TH Homeless Individuals,Sheltered TH Homeless Individuals - Under 18,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Sheltered Total Homeless Individuals - Under 18,Unsheltered Homeless Individuals,Unsheltered Homeless Individuals - Under 18,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
AK-500,Anchorage CoC,Sheltered and Unsheltered Count,1223.0,574.0,508.0,0.0,1082.0,141.0,794.0,12.0,445.0,0.0,232.0,12.0,0.0,677.0,12.0,117.0,0.0,429.0,129.0,276.0,405.0,24.0,138.0,50.0,81.0,131.0,7.0,129.0,109.0,0.0,109.0,20.0,112.0,94.0,0.0,94.0,18.0,17.0,15.0,15.0,2.0,199.0,168.0,31.0,2011.0
AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,905.0,461.0,217.0,0.0,678.0,227.0,492.0,9.0,258.0,8.0,107.0,0.0,0.0,365.0,8.0,127.0,1.0,413.0,203.0,110.0,313.0,100.0,139.0,74.0,35.0,109.0,30.0,124.0,85.0,0.0,85.0,39.0,114.0,75.0,0.0,75.0,39.0,10.0,10.0,10.0,0.0,89.0,68.0,21.0,2011.0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Sheltered and Unsheltered Count,1950.0,348.0,642.0,34.0,1024.0,926.0,1445.0,49.0,286.0,13.0,375.0,0.0,34.0,695.0,13.0,750.0,36.0,505.0,62.0,267.0,329.0,176.0,175.0,16.0,83.0,99.0,76.0,564.0,115.0,34.0,149.0,415.0,536.0,104.0,34.0,138.0,398.0,28.0,11.0,11.0,17.0,281.0,110.0,171.0,2011.0
AL-501,Mobile City & County/Baldwin County CoC,Sheltered and Unsheltered Count,718.0,286.0,121.0,0.0,407.0,311.0,542.0,3.0,206.0,1.0,25.0,0.0,0.0,231.0,1.0,311.0,2.0,176.0,80.0,96.0,176.0,0.0,72.0,28.0,44.0,72.0,0.0,65.0,7.0,0.0,7.0,58.0,65.0,7.0,0.0,7.0,58.0,0.0,0.0,0.0,0.0,60.0,19.0,41.0,2011.0
AL-502,Florence/Northwest Alabama CoC,Sheltered and Unsheltered Count,244.0,6.0,228.0,0.0,234.0,10.0,219.0,0.0,6.0,0.0,203.0,0.0,0.0,209.0,0.0,10.0,0.0,25.0,0.0,25.0,25.0,0.0,9.0,0.0,9.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,5.0,1.0,4.0,2011.0
AL-503,Huntsville/North Alabama CoC,Sheltered and Unsheltered Count,656.0,364.0,117.0,0.0,481.0,175.0,489.0,0.0,307.0,0.0,44.0,0.0,0.0,351.0,0.0,138.0,0.0,167.0,57.0,73.0,130.0,37.0,51.0,14.0,24.0,38.0,13.0,244.0,164.0,0.0,164.0,80.0,238.0,158.0,0.0,158.0,80.0,6.0,6.0,6.0,0.0,69.0,59.0,10.0,2011.0
AL-504,Montgomery City & County CoC,Sheltered and Unsheltered Count,433.0,73.0,214.0,0.0,287.0,146.0,333.0,0.0,65.0,0.0,133.0,0.0,0.0,198.0,0.0,135.0,0.0,100.0,8.0,81.0,89.0,11.0,30.0,2.0,25.0,27.0,3.0,84.0,12.0,0.0,12.0,72.0,82.0,12.0,0.0,12.0,70.0,2.0,0.0,0.0,2.0,59.0,34.0,25.0,2011.0
AL-505,Gadsden/Northeast Alabama CoC,Sheltered and Unsheltered Count,495.0,151.0,202.0,0.0,353.0,142.0,414.0,20.0,108.0,19.0,202.0,1.0,0.0,310.0,20.0,104.0,0.0,81.0,43.0,0.0,43.0,38.0,22.0,10.0,0.0,10.0,12.0,73.0,32.0,0.0,32.0,41.0,44.0,27.0,0.0,27.0,17.0,29.0,5.0,5.0,24.0,15.0,7.0,8.0,2011.0
AL-506,Tuscaloosa City & County CoC,Sheltered and Unsheltered Count,265.0,52.0,184.0,0.0,236.0,29.0,257.0,41.0,52.0,4.0,176.0,31.0,0.0,228.0,35.0,29.0,6.0,8.0,0.0,8.0,8.0,0.0,3.0,0.0,3.0,3.0,0.0,37.0,33.0,0.0,33.0,4.0,37.0,33.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,2011.0
AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,797.0,335.0,392.0,0.0,727.0,70.0,626.0,1.0,189.0,1.0,371.0,0.0,0.0,560.0,1.0,66.0,0.0,171.0,146.0,21.0,167.0,4.0,72.0,64.0,6.0,70.0,2.0,41.0,21.0,0.0,21.0,20.0,41.0,21.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0,63.0,50.0,13.0,2011.0
