State_Territory,CoC Number,CoC Name,Count Types,Year,Overall Homeless,Overall Homeless Individuals,Overall Chronically Homeless,Sheltered ES Chronically Homeless,Sheltered SH Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Chronically Homeless People in Families,Sheltered ES Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2007,824.0,575.0,,,,,,215.0,,,71.0,144.0,,,,
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2008,740.0,490.0,,,,,,212.0,,,142.0,70.0,,,,
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2009,820.0,549.0,,,,,,217.0,119.0,,119.0,98.0,,,,
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2010,859.0,587.0,,,0.0,,,218.0,106.0,0.0,106.0,112.0,,,,
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2011,857.0,542.0,210.0,114.0,8.0,122.0,88.0,210.0,114.0,8.0,122.0,88.0,0.0,0.0,0.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2012,813.0,510.0,208.0,103.0,10.0,113.0,95.0,205.0,100.0,10.0,110.0,95.0,3.0,3.0,3.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2013,862.0,565.0,211.0,100.0,5.0,105.0,106.0,209.0,98.0,5.0,103.0,106.0,2.0,2.0,2.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2014,870.0,579.0,219.0,108.0,5.0,113.0,106.0,215.0,104.0,5.0,109.0,106.0,4.0,4.0,4.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered-Only Count,2015,760.0,507.0,157.0,78.0,18.0,96.0,61.0,157.0,78.0,18.0,96.0,61.0,0.0,0.0,0.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2016,679.0,470.0,45.0,5.0,4.0,9.0,36.0,45.0,5.0,4.0,9.0,36.0,0.0,0.0,0.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2017,507.0,392.0,56.0,13.0,14.0,27.0,29.0,49.0,9.0,14.0,23.0,26.0,7.0,4.0,4.0,3.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2018,587.0,462.0,46.0,3.0,5.0,8.0,38.0,46.0,3.0,5.0,8.0,38.0,0.0,0.0,0.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2019,546.0,425.0,54.0,10.0,6.0,16.0,38.0,54.0,10.0,6.0,16.0,38.0,0.0,0.0,0.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2020,587.0,445.0,46.0,10.0,4.0,14.0,32.0,44.0,8.0,4.0,12.0,32.0,2.0,2.0,2.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2021,394.0,324.0,68.0,11.0,12.0,23.0,45.0,63.0,6.0,12.0,18.0,45.0,5.0,5.0,5.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2022,441.0,357.0,64.0,31.0,10.0,41.0,23.0,64.0,31.0,10.0,41.0,23.0,0.0,0.0,0.0,0.0
Ohio,OH-506,"Akron, Barberton/Summit County CoC",Sheltered and Unsheltered Count,2023,648.0,504.0,100.0,17.0,12.0,29.0,71.0,100.0,17.0,12.0,29.0,71.0,0.0,0.0,0.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2007,684.0,463.0,,,,,,43.0,,,6.0,37.0,,,,
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2008,858.0,692.0,,,,,,43.0,,,6.0,37.0,,,,
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2009,1035.0,829.0,,,,,,63.0,33.0,,33.0,30.0,,,,
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2010,809.0,691.0,,,0.0,,,41.0,20.0,0.0,20.0,21.0,,,,
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2011,797.0,626.0,41.0,21.0,0.0,21.0,20.0,41.0,21.0,0.0,21.0,20.0,0.0,0.0,0.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2012,886.0,638.0,46.0,26.0,0.0,26.0,20.0,44.0,24.0,0.0,24.0,20.0,2.0,2.0,2.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered-Only Count,2013,905.0,572.0,72.0,37.0,0.0,37.0,35.0,42.0,21.0,0.0,21.0,21.0,30.0,16.0,16.0,14.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2014,716.0,394.0,50.0,31.0,0.0,31.0,19.0,22.0,13.0,0.0,13.0,9.0,28.0,18.0,18.0,10.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2015,638.0,393.0,36.0,7.0,0.0,7.0,29.0,25.0,7.0,0.0,7.0,18.0,11.0,0.0,0.0,11.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2016,827.0,615.0,44.0,5.0,0.0,5.0,39.0,35.0,5.0,0.0,5.0,30.0,9.0,0.0,0.0,9.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2017,764.0,591.0,6.0,3.0,0.0,3.0,3.0,6.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2018,730.0,523.0,13.0,4.0,0.0,4.0,9.0,13.0,4.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2019,323.0,218.0,16.0,8.0,0.0,8.0,8.0,16.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2020,398.0,219.0,10.0,5.0,0.0,5.0,5.0,7.0,2.0,0.0,2.0,5.0,3.0,3.0,3.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2021,190.0,113.0,11.0,3.0,0.0,3.0,8.0,11.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2022,935.0,312.0,22.0,11.0,0.0,11.0,11.0,19.0,11.0,0.0,11.0,8.0,3.0,0.0,0.0,3.0
Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2023,283.0,167.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2007,668.0,366.0,,,,,,54.0,,,34.0,20.0,,,,
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2008,623.0,372.0,,,,,,139.0,,,116.0,23.0,,,,
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2009,725.0,418.0,,,,,,125.0,93.0,,93.0,32.0,,,,
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2010,632.0,378.0,,,0.0,,,108.0,76.0,0.0,76.0,32.0,,,,
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2011,905.0,492.0,124.0,85.0,0.0,85.0,39.0,114.0,75.0,0.0,75.0,39.0,10.0,10.0,10.0,0.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2012,766.0,507.0,165.0,154.0,0.0,154.0,11.0,160.0,149.0,0.0,149.0,11.0,5.0,5.0,5.0,0.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2013,824.0,518.0,95.0,70.0,0.0,70.0,25.0,83.0,62.0,0.0,62.0,21.0,12.0,8.0,8.0,4.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2014,761.0,473.0,105.0,78.0,0.0,78.0,27.0,88.0,63.0,0.0,63.0,25.0,17.0,15.0,15.0,2.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2015,748.0,505.0,95.0,54.0,0.0,54.0,41.0,76.0,43.0,0.0,43.0,33.0,19.0,11.0,11.0,8.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2016,835.0,622.0,72.0,46.0,0.0,46.0,26.0,64.0,38.0,0.0,38.0,26.0,8.0,8.0,8.0,0.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2017,717.0,506.0,141.0,86.0,0.0,86.0,55.0,102.0,47.0,0.0,47.0,55.0,39.0,39.0,39.0,0.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2018,922.0,620.0,180.0,125.0,0.0,125.0,55.0,160.0,107.0,0.0,107.0,53.0,20.0,18.0,18.0,2.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2019,796.0,585.0,178.0,97.0,0.0,97.0,81.0,152.0,73.0,0.0,73.0,79.0,26.0,24.0,24.0,2.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2020,891.0,629.0,216.0,142.0,0.0,142.0,74.0,192.0,121.0,0.0,121.0,71.0,24.0,21.0,21.0,3.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2021,630.0,390.0,111.0,111.0,0.0,111.0,0.0,85.0,85.0,0.0,85.0,0.0,26.0,26.0,26.0,0.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered-Only Count,2022,826.0,584.0,125.0,68.0,0.0,68.0,57.0,121.0,68.0,0.0,68.0,53.0,4.0,0.0,0.0,4.0
Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2023,854.0,595.0,290.0,215.0,0.0,215.0,75.0,229.0,154.0,0.0,154.0,75.0,61.0,61.0,61.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2007,619.0,396.0,,,,,,68.0,,,24.0,44.0,,,,
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2008,538.0,384.0,,,,,,66.0,,,30.0,36.0,,,,
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2009,639.0,429.0,,,,,,66.0,38.0,,38.0,28.0,,,,
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2010,650.0,442.0,,,0.0,,,72.0,37.0,0.0,37.0,35.0,,,,
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2011,641.0,360.0,89.0,62.0,0.0,62.0,27.0,83.0,59.0,0.0,59.0,24.0,6.0,3.0,3.0,3.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2012,590.0,372.0,108.0,80.0,0.0,80.0,28.0,95.0,67.0,0.0,67.0,28.0,13.0,13.0,13.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2013,728.0,444.0,101.0,82.0,0.0,82.0,19.0,80.0,61.0,0.0,61.0,19.0,21.0,21.0,21.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2014,650.0,439.0,81.0,59.0,0.0,59.0,22.0,81.0,59.0,0.0,59.0,22.0,0.0,0.0,0.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2015,597.0,459.0,87.0,68.0,0.0,68.0,19.0,78.0,59.0,0.0,59.0,19.0,9.0,9.0,9.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2016,748.0,468.0,83.0,63.0,0.0,63.0,20.0,80.0,60.0,0.0,60.0,20.0,3.0,3.0,3.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2017,802.0,515.0,82.0,63.0,0.0,63.0,19.0,82.0,63.0,0.0,63.0,19.0,0.0,0.0,0.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2018,835.0,580.0,99.0,72.0,0.0,72.0,27.0,92.0,65.0,0.0,65.0,27.0,7.0,7.0,7.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2019,750.0,543.0,91.0,64.0,0.0,64.0,27.0,91.0,64.0,0.0,64.0,27.0,0.0,0.0,0.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2020,820.0,592.0,116.0,81.0,0.0,81.0,35.0,97.0,62.0,0.0,62.0,35.0,19.0,19.0,19.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2021,723.0,590.0,103.0,68.0,0.0,68.0,35.0,103.0,68.0,0.0,68.0,35.0,0.0,0.0,0.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2022,734.0,533.0,142.0,96.0,0.0,96.0,46.0,139.0,93.0,0.0,93.0,46.0,3.0,3.0,3.0,0.0
New York,NY-503,Albany City & County CoC,Sheltered and Unsheltered Count,2023,889.0,592.0,96.0,36.0,0.0,36.0,60.0,90.0,30.0,0.0,30.0,60.0,6.0,6.0,6.0,0.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2007,1276.0,821.0,,,,,,159.0,,,78.0,81.0,,,,
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2008,1276.0,821.0,,,,,,159.0,,,78.0,81.0,,,,
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2009,2002.0,1454.0,,,,,,403.0,152.0,,152.0,251.0,,,,
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2010,2002.0,1454.0,,,0.0,,,403.0,152.0,0.0,152.0,251.0,,,,
New Mexico,NM-500,Albuquerque CoC,Sheltered-Only Count,2011,1639.0,1053.0,487.0,326.0,0.0,326.0,161.0,436.0,287.0,0.0,287.0,149.0,51.0,39.0,39.0,12.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2012,1431.0,1004.0,428.0,267.0,0.0,267.0,161.0,387.0,238.0,0.0,238.0,149.0,41.0,29.0,29.0,12.0
New Mexico,NM-500,Albuquerque CoC,Sheltered-Only Count,2013,1171.0,817.0,233.0,166.0,0.0,166.0,67.0,225.0,160.0,0.0,160.0,65.0,8.0,6.0,6.0,2.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2014,1254.0,868.0,200.0,133.0,0.0,133.0,67.0,181.0,116.0,0.0,116.0,65.0,19.0,17.0,17.0,2.0
New Mexico,NM-500,Albuquerque CoC,Sheltered-Only Count,2015,1287.0,879.0,260.0,170.0,0.0,170.0,90.0,251.0,161.0,0.0,161.0,90.0,9.0,9.0,9.0,0.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2016,1222.0,867.0,255.0,165.0,0.0,165.0,90.0,240.0,150.0,0.0,150.0,90.0,15.0,15.0,15.0,0.0
New Mexico,NM-500,Albuquerque CoC,Sheltered-Only Count,2017,1318.0,1104.0,379.0,209.0,0.0,209.0,170.0,344.0,183.0,0.0,183.0,161.0,35.0,26.0,26.0,9.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2018,1340.0,1115.0,421.0,251.0,0.0,251.0,170.0,381.0,220.0,0.0,220.0,161.0,40.0,31.0,31.0,9.0
New Mexico,NM-500,Albuquerque CoC,Sheltered-Only Count,2019,1524.0,1224.0,590.0,255.0,0.0,255.0,335.0,564.0,237.0,0.0,237.0,327.0,26.0,18.0,18.0,8.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2020,1586.0,1311.0,553.0,218.0,0.0,218.0,335.0,531.0,204.0,0.0,204.0,327.0,22.0,14.0,14.0,8.0
New Mexico,NM-500,Albuquerque CoC,Sheltered-Only Count,2021,1567.0,1088.0,516.0,344.0,0.0,344.0,172.0,461.0,293.0,0.0,293.0,168.0,55.0,51.0,51.0,4.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2022,1277.0,849.0,464.0,318.0,0.0,318.0,146.0,397.0,260.0,0.0,260.0,137.0,67.0,58.0,58.0,9.0
New Mexico,NM-500,Albuquerque CoC,Sheltered and Unsheltered Count,2023,2394.0,1865.0,1133.0,343.0,0.0,343.0,790.0,1035.0,283.0,0.0,283.0,752.0,98.0,60.0,60.0,38.0
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2007,375.0,230.0,,,,,,114.0,,,51.0,63.0,,,,
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2008,306.0,194.0,,,,,,58.0,,,12.0,46.0,,,,
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2009,335.0,200.0,,,,,,76.0,52.0,,52.0,24.0,,,,
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2010,359.0,208.0,,,0.0,,,80.0,55.0,0.0,55.0,25.0,,,,
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2011,416.0,264.0,109.0,62.0,12.0,74.0,35.0,109.0,62.0,12.0,74.0,35.0,0.0,0.0,0.0,0.0
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2012,352.0,213.0,60.0,29.0,11.0,40.0,20.0,60.0,29.0,11.0,40.0,20.0,0.0,0.0,0.0,0.0
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2013,275.0,185.0,74.0,43.0,10.0,53.0,21.0,69.0,38.0,10.0,48.0,21.0,5.0,5.0,5.0,0.0
Virginia,VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2014,267.0,179.0,63.0,41.0,4.0,45.0,18.0,63.0,41.0,4.0,45.0,18.0,0.0,0.0,0.0,0.0
