,State_Territory,CoC Number,CoC Name,Count Types,Year,Overall Homeless,Overall Homeless Individuals,Overall Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24
0,Alaska,AK-500,Anchorage CoC,Sheltered and Unsheltered Count,2017,1128.0,848.0,116.0,72.0,44.0,445.0,678.0,4.0,1.0,1051.0,77.0,351.0,123.0,10.0,468.0,57.0,119.0,170.0,133.0,825.0,559.0,4.0,1.0,899.0,74.0,307.0,108.0,10.0,387.0,56.0,105.0,170.0,119.0,684.0,36.0,119.0,0.0,0.0,152.0,3.0,44.0,15.0,0.0,81.0,1.0,14.0,0.0,14.0,141.0
1,Alaska,AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2017,717.0,506.0,141.0,86.0,55.0,320.0,397.0,0.0,0.0,692.0,25.0,290.0,24.0,10.0,302.0,12.0,79.0,135.0,53.0,529.0,298.0,0.0,0.0,556.0,22.0,227.0,24.0,10.0,243.0,11.0,63.0,135.0,47.0,396.0,40.0,99.0,0.0,0.0,136.0,3.0,63.0,0.0,0.0,59.0,1.0,16.0,0.0,6.0,133.0
2,Alabama,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Sheltered and Unsheltered Count,2017,1092.0,932.0,92.0,31.0,61.0,334.0,738.0,19.0,1.0,1075.0,17.0,330.0,726.0,1.0,10.0,1.0,24.0,104.0,125.0,863.0,585.0,4.0,0.0,861.0,14.0,262.0,582.0,1.0,10.0,1.0,19.0,104.0,80.0,691.0,48.0,153.0,15.0,1.0,214.0,3.0,68.0,144.0,0.0,0.0,0.0,5.0,0.0,45.0,172.0
3,Alabama,AL-501,Mobile City & County/Baldwin County CoC,Sheltered and Unsheltered Count,2017,606.0,426.0,65.0,9.0,56.0,222.0,383.0,1.0,0.0,588.0,18.0,273.0,314.0,4.0,6.0,0.0,9.0,116.0,35.0,455.0,184.0,0.0,0.0,331.0,10.0,146.0,185.0,3.0,3.0,0.0,4.0,106.0,23.0,212.0,65.0,199.0,1.0,0.0,257.0,8.0,127.0,129.0,1.0,3.0,0.0,5.0,10.0,12.0,243.0
4,Alabama,AL-502,Florence/Northwest Alabama CoC,Sheltered and Unsheltered Count,2017,155.0,155.0,24.0,10.0,14.0,72.0,81.0,0.0,2.0,152.0,3.0,112.0,7.0,0.0,0.0,0.0,36.0,0.0,8.0,147.0,65.0,0.0,1.0,130.0,3.0,92.0,5.0,0.0,0.0,0.0,36.0,0.0,7.0,126.0,5.0,16.0,0.0,1.0,22.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0
5,Alabama,AL-503,Huntsville/North Alabama CoC,Sheltered and Unsheltered Count,2017,436.0,327.0,64.0,49.0,15.0,158.0,277.0,1.0,0.0,422.0,14.0,233.0,174.0,1.0,2.0,0.0,26.0,85.0,22.0,329.0,207.0,1.0,0.0,326.0,11.0,172.0,143.0,1.0,1.0,0.0,20.0,84.0,17.0,236.0,29.0,70.0,0.0,0.0,96.0,3.0,61.0,31.0,0.0,1.0,0.0,6.0,1.0,5.0,93.0
6,Alabama,AL-504,Montgomery City & County CoC,Sheltered and Unsheltered Count,2017,377.0,284.0,45.0,39.0,6.0,104.0,273.0,0.0,0.0,370.0,7.0,70.0,302.0,0.0,0.0,0.0,5.0,59.0,31.0,287.0,222.0,0.0,0.0,307.0,7.0,59.0,250.0,0.0,0.0,0.0,5.0,56.0,31.0,227.0,12.0,51.0,0.0,0.0,63.0,0.0,11.0,52.0,0.0,0.0,0.0,0.0,3.0,0.0,60.0
7,Alabama,AL-505,Gadsden/Northeast Alabama CoC,Sheltered and Unsheltered Count,2017,163.0,130.0,43.0,15.0,28.0,67.0,95.0,0.0,1.0,163.0,0.0,120.0,37.0,0.0,1.0,0.0,5.0,24.0,6.0,133.0,49.0,0.0,1.0,103.0,0.0,76.0,27.0,0.0,0.0,0.0,0.0,24.0,4.0,75.0,14.0,46.0,0.0,0.0,60.0,0.0,44.0,10.0,0.0,1.0,0.0,5.0,0.0,2.0,58.0
8,Alabama,AL-506,Tuscaloosa City & County CoC,Sheltered and Unsheltered Count,2017,200.0,140.0,24.0,15.0,9.0,89.0,110.0,0.0,1.0,192.0,8.0,68.0,130.0,0.0,0.0,0.0,2.0,38.0,33.0,129.0,73.0,0.0,1.0,130.0,7.0,37.0,98.0,0.0,0.0,0.0,2.0,38.0,5.0,94.0,26.0,37.0,0.0,0.0,62.0,1.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0
9,Alabama,AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2017,764.0,591.0,6.0,3.0,3.0,268.0,496.0,0.0,0.0,759.0,5.0,381.0,374.0,3.0,2.0,0.0,4.0,102.0,40.0,622.0,299.0,0.0,0.0,413.0,3.0,251.0,158.0,3.0,0.0,0.0,4.0,60.0,17.0,339.0,151.0,197.0,0.0,0.0,346.0,2.0,130.0,216.0,0.0,2.0,0.0,0.0,42.0,23.0,283.0
